Date,AAPL,AMZN,MSFT,NVDA
2022-11-23,144.13068328857423,108.43840026855469,230.48922912597655,13.413430213928223
2022-11-25,144.05179565429688,107.78100036621093,230.54378936767577,13.480162677764893
2022-11-28,143.92915405273436,107.18940032958984,230.49911712646485,13.532673816680909
2022-11-29,143.67219177246093,106.54460021972656,230.43085174560548,13.577754707336426
2022-11-30,143.50270629882812,106.03160018920899,230.69143920898438,13.65268304824829
2022-12-01,143.40122467041016,105.57080017089844,231.0112747192383,13.730149154663087
2022-12-02,143.30915954589844,105.10720016479492,231.29809112548827,13.816422309875488
2022-12-05,143.23926391601563,104.65180023193359,231.55044067382812,13.898280067443848
2022-12-06,143.08945983886719,104.11380020141601,231.7129214477539,13.97344331741333
2022-12-07,142.8814227294922,103.59480010986329,231.8809976196289,14.047568645477295
2022-12-08,142.74477630615235,103.04160003662109,232.01756256103516,14.136200332641602
2022-12-09,142.74312225341797,102.52739990234375,232.1849185180664,14.231781959533691
2022-12-12,142.87144226074219,102.0783999633789,232.57984405517578,14.339650211334229
2022-12-13,142.9355322265625,101.61059997558594,232.90835174560547,14.450796985626221
2022-12-14,142.88340728759766,101.02040008544923,233.08451599121094,14.540909214019775
2022-12-15,142.69330444335938,100.37040008544922,233.09446136474608,14.61575771331787
2022-12-16,142.4830926513672,99.7216000366211,233.06705200195313,14.684572181701661
2022-12-19,142.3356967163086,99.12880004882813,233.20090515136718,14.76810577392578
2022-12-20,142.18043701171874,98.55920013427735,233.45804107666015,14.85637237548828
2022-12-21,142.1154815673828,98.05040008544921,233.84105682373047,14.95462791442871
2022-12-22,141.99971984863282,97.46820007324219,234.09585723876953,15.031385726928711
2022-12-23,141.7852944946289,96.92260009765624,234.19618927001954,15.096298389434814
2022-12-27,141.62544067382814,96.44540008544922,234.37241088867188,15.15417474746704
2022-12-28,141.30785018920898,95.80600006103515,234.3269549560547,15.197150230407715
2022-12-29,141.03420013427734,95.16240005493164,234.3889340209961,15.249875831604005
2022-12-30,140.76468688964843,94.54100006103516,234.4669775390625,15.301143360137939
2023-01-03,140.40874435424806,93.95240005493164,234.54675659179688,15.34358097076416
2023-01-04,140.0019451904297,93.26880004882813,234.30627624511717,15.389256572723388
2023-01-05,139.5259294128418,92.53480010986328,233.83377410888673,15.422605781555175
2023-01-06,139.0836669921875,91.84440017700196,233.34606323242187,15.454599857330322
2023-01-09,138.71059600830077,91.2784001159668,233.27687957763672,15.50924819946289
2023-01-10,138.43835815429688,90.85660018920899,233.33022430419922,15.56391794204712
2023-01-11,138.00545867919922,90.69020004272461,233.34119354248048,15.607282943725586
2023-01-12,137.6181481933594,90.54679992675781,233.47824310302735,15.667568321228027
2023-01-13,137.3102749633789,90.5733999633789,233.70628173828126,15.734686756134034
2023-01-17,137.13607238769532,90.65199996948242,234.11297821044923,15.82431978225708
2023-01-18,137.0683578491211,90.77519989013672,234.5448843383789,15.903424949645997
2023-01-19,137.007138671875,90.82919982910157,234.7624188232422,15.955622291564941
2023-01-20,136.9864700317383,90.96359985351563,235.01558197021484,16.026380825042725
2023-01-23,137.01816192626953,91.11439971923828,235.2953042602539,16.11817865371704
2023-01-24,137.16894409179687,91.31799972534179,235.64923370361328,16.227913341522218
2023-01-25,137.07032562255858,91.32899978637695,235.61635345458984,16.29937847137451
2023-01-26,136.95733764648438,91.29759979248047,235.6472311401367,16.368888702392578
2023-01-27,136.91107879638673,91.37259979248047,235.78927917480468,16.45028621673584
2023-01-30,136.77250091552733,91.4047998046875,235.81695251464845,16.50023868560791
2023-01-31,136.68392150878907,91.52499969482422,235.93544250488281,16.572783546447752
2023-02-01,136.57979156494142,91.73099975585937,236.1511801147461,16.678072605133057
2023-02-02,136.5705407714844,92.10639984130859,236.6068209838867,16.80401845932007
2023-02-03,136.69829193115234,92.32499984741212,236.9244842529297,16.919634799957276
2023-02-06,136.72880310058594,92.50459991455078,237.1532797241211,17.020630283355715
2023-02-07,136.7992727661133,92.66419998168945,237.54266052246095,17.133675594329834
2023-02-08,136.87426971435548,92.79699996948243,237.9176190185547,17.25233362197876
2023-02-09,137.00517028808594,92.88279998779296,238.3436376953125,17.382477321624755
2023-02-10,137.20340301513673,92.9866000366211,238.78739135742188,17.49495859146118
2023-02-13,137.3225897216797,93.0466000366211,239.10271545410157,17.592156047821046
2023-02-14,137.42345123291017,93.13059997558594,239.4433737182617,17.708752994537353
2023-02-15,137.57614624023438,93.27120010375977,239.73520538330078,17.826388912200926
2023-02-16,137.72013061523438,93.41400009155274,239.98088958740234,17.93411516189575
2023-02-17,137.91447265625,93.59300003051757,240.2456674194336,18.042021331787108
2023-02-21,138.06735534667968,93.71540008544922,240.4197555541992,18.132625694274903
2023-02-22,138.19505523681642,93.82420013427735,240.5121307373047,18.20425006866455
2023-02-23,138.34205963134767,93.95880020141601,240.70678466796875,18.337369537353517
